1 4 wB1. wQwB1- wA1/wB1 wA2wQ-
1 4 wG1. wQ-wG1 wA1-wQ wS1wQ/
1 4 wG1. wQwG1/ wA1wG1\ wA2wQ/
1 4 wG1. wA1wG1\ wQwG1- wA1bG2/
1 4 wG1. wQ-wG1 wS1wQ/ wS2wQ\
1 4 wS1. wQ-wS1 wA1wQ\ wA1bG1-
1 4 wB1. wQ\wB1 wA1-wB1 wA1bA1/
1 4 wB1. wA1/wB1 wQ-wB1 wA1bG1-
1 4 wB1. wQ/wB1 wQwB1\ wA1-wQ
1 4 wB1. wA1-wB1 wQwA1\ wA1bG2/
1 4 wG1. wQwG1/ wA1wQ- wA2wA1/
1 4 wG1. wA1wG1- wQwG1/ wA1/bG2
1 4 wG1. wA1/wG1 wQwA1- wA1bG2-
1 4 wG1. wQ/wG1 wA1wQ\ wA1bA1/
1 4 wG1. wQ\wG1 wS1wQ/ wS1bS1/
1 4 wS1. wA1wS1- wQwS1/ wA1bQ\
1 4 wG1. wA1/wG1 wQ-wG1 wA1bQ-
1 4 wG1. wQ\wG1 wA1/wG1 wA1bQ\
1 4 wG1. wQ\wG1 wS1/wG1 wS1bQ\
1 4 wG1. wA1wG1- wQwG1/ wA1bA1/
1 4 wB1. wA1wB1- wQwB1/ wA1bQ/
1 4 wB1. wA1wB1- wQwB1\ wA1\bA1
1 4 wS1. wQ-wS1 wA1\wQ wA1bQ/
1 4 wG1. wA1-wG1 wQwA1/ wA1bG2/
1 4 wG1. wA1wG1- wQwG1\ wA1-bG2
1 4 wB1. wA1wB1/ wQwB1\ wA1\bA1
1 4 wG1. wQ/wG1 wA1\wG1 wG2-wG1
1 4 wG1. wA1-wG1 wQwA1/ wA1bA1-
1 4 wG1. wA1-wG1 wQwA1/ wA1bG2\
1 4 wG1. wQ-wG1 wS1\wQ wS1-bS1
1 4 wG1. wQwG1/ wA1wG1\ wA1/bQ
1 4 wG1. wA1wG1- wQwG1/ wA1\bG2
1 4 wG1. wA1wG1- wQwG1\ wA1-bA1
1 4 wG1. wA1-wG1 wQwA1\ wA2wA1/
1 4 wG1. wQ\wG1 wS1wQ- wS2-wG1
1 4 wG1. wA1wG1- wQwG1/ wA2wG1\
1 4 wG1. wQ\wG1 wS1/wG1 wS2wQ/
1 4 wS1. wA1/wS1 wQ-wS1 wA1bQ-
1 4 wG1. wA1-wG1 wQwA1/ wA1/bQ
1 4 wG1. wA1wG1/ wQwG1- wA1bG2\
1 4 wS1. wQ\wS1 wA1\wQ wA1bQ-
1 4 wG1. wQ\wG1 wS1/wG1 wS1/bS1
1 4 wG1. wA1\wG1 wQ/wG1 wA1bA1\
1 4 wB1. wA1-wB1 wQwA1\ wA2wA1/
1 4 wG1. wQ\wG1 wA1/wG1 wA2\wQ
1 4 wG1. wA1\wG1 wQ/wG1 wG2-wG1
1 4 wG1. wQ\wG1 wA1wQ/ wG2-wG1
1 4 wG1. wQ-wG1 wA1wQ/ wA1bQ\
1 4 wG1. wA1wG1/ wQwG1- wA1bQ\
1 4 wG1. wQ\wG1 wA1/wG1 wA1bS1-
1 4 wG1. wA1\wG1 wQwA1- wA1bG2-
1 4 wG1. wQwG1/ wA1\wQ wA1bA1\
1 4 wG1. wA1wG1- wQwG1\ wA1bS1/
1 4 wB1. wQ-wB1 wA1\wQ wA1bA1/
1 4 wB1. wA1wB1\ wQ-wA1 wA1\bQ
1 4 wG1. wA1wG1- wQwG1/ wA1/bS1
1 4 wG1. wA1wG1- wQwG1\ wA1\bQ
1 4 wG1. wA1wG1- wQwG1/ wA1-bS1
1 4 wG1. wQ-wG1 wA1\wQ wA1bA1-
1 4 wG1. wQwG1- wS1wG1\ wS1/bQ
